name,x,y,cap
Banda Aceh,95.3168672,5.5576385,2040
Lhokseumawe,97.1411612,5.1823794,6000
Medan,98.6770692,3.5907934,24054
Sibolga,98.77534,1.7474852,2980
Pematang Siantar,99.0582705,2.9556307,3548
Padang,100.3622993,-0.9430504,9588
Pekanbaru,101.446956,0.5146997,5000
Bengkulu,102.253207,-3.790198,2000
Jambi,103.5828587,-1.6091815,4776
Batam,104.0558977,1.1292039,5500
Palembang,104.7544829,-2.975594,13680
Lampung,105.267406,-5.4434601,16000
Serang,106.1498068,-6.1758653,5490
Pangkal Pinang,106.1570726,-2.1489221,5890
Jakarta,106.8247514,-6.1667636,318010
Bandung,107.6092794,-6.9143356,52111
Tasikmalaya,108.2257789,-7.3265654,2850
Cirebon,108.5721852,-6.7189802,15000
Tegal,109.1288435,-6.8679808,4806
Purwokerto,109.2379672,-7.4222463,3600
Pontianak,109.35379,-0.059941,15720
Yogyakarta,110.3659379,-7.8018115,12198
Semarang,110.4226331,-6.9946758,40716
Solo,110.8295009,-7.5708804,13500
Kediri,112.0138795,-7.8141708,3750
Malang,112.6314473,-7.9816268,2580
Surabaya,112.7377473,-7.2441903,14500
Jember,113.6793971,-8.1782815,9582
Palangkaraya,113.925826,-2.2136981,1800
Banjarmasin,114.5918511,-3.3236478,4920
Denpasar,115.222783,-8.6683054,18606
Mataram,116.102498,-8.580817,2200
Balikpapan,116.8291272,-1.277385,12972
Samarinda,117.1380567,-0.5008913,10890
Tarakan,117.5750747,3.3216291,780
Mamuju,118.8895996,-2.6778004,800
Makassar,119.4141384,-5.1341616,15000
Palu,119.870193,-0.8891689,1650
Kendari,122.5507713,-3.9651584,1480
Gorontalo,123.077416,0.5353762,2250
Kupang,123.6059201,-10.1709413,4008
Manado,124.8428007,1.4677089,12324
Ternate,127.3807226,0.7871245,5514
Ambon,128.1843218,-3.6947983,2330
Manokwari,134.07563,-0.8655739,490
Jayapura,140.7058042,-2.5390505,12870
