Ambon,Balikpapan,Banda Aceh,Bandung,Banjarmasin,Batam,Bengkulu,Cirebon,Denpasar,Gorontalo,Jakarta,Jambi,Jayapura,Jember,Kediri,Kendari,Kupang,Lampung,Lhokseumawe,Makassar,Malang,Mamuju,Manado,Manokwari,Mataram,Medan,Padang,Palangkaraya,Palembang,Palu,Pangkal Pinang,Pekanbaru,Pematang Siantar,Pontianak,Purwokerto,Samarinda,Semarang,Serang,Sibolga,Solo,Surabaya,Tarakan,Tasikmalaya,Tegal,Ternate,Yogyakarta
-1499,-9335,-1543,-15234,-4920,-5500,-1799,-5652,-6081,0,-64983,-2578,-3977,-7382,-3750,-1154,-2597,-9066,-3257,-12229,-1752,-777,-7100,-402,-2051,-16548,-5766,-1800,-11552,-1624,-2371,-5000,-3115,-7426,-2818,-2839,-16526,-4604,-1360,-5744,-14237,-780,-2364,-2964,-2415,-5417
1499,9085,1543,18384,6020,5500,1799,5926,6231,0,36939,2978,3977,7990,4150,1154,2597,9066,4757,15529,1752,777,7100,402,2501,16848,5766,1800,13902,1624,2371,8300,3865,7426,3634,3089,16073,4604,2110,6560,20314,780,2664,3861,2415,6226
450,4000,0,4950,-250,1650,600,990,2750,0,-49145,652,0,1620,600,700,800,1405,750,-1950,620,0,2750,0,250,5100,0,250,3562,900,186,4400,750,2750,644,600,2263,0,0,1320,-1440,0,1300,922,550,1751
0,-700,0,6250,600,1100,500,600,100,0,-43400,500,550,2000,4300,0,0,2500,750,1450,600,200,2200,0,500,4600,1500,500,2680,0,120,150,500,3300,741,2350,1177,0,750,933,-2000,0,0,625,1100,374
0,2770,0,2500,1500,0,0,1000,1050,0,-36250,900,0,2000,1200,0,855,2000,1000,-165,600,410,0,0,750,-1750,1000,1250,1475,300,375,2300,750,1100,621,600,3279,0,0,350,3750,180,1000,250,0,1050
0,450,0,3750,1750,3300,750,0,-250,0,-49650,2250,0,1800,1800,600,0,2250,1000,2700,1800,0,2750,0,850,5450,1950,1000,595,0,455,1900,750,0,0,1200,-950,0,500,700,4100,0,0,900,1100,2450
550,-3175,1500,1700,-750,0,1350,1800,-3550,0,-68755,825,550,4600,4600,800,1030,-246,2500,805,3100,665,0,0,3550,-2700,0,750,3335,825,-860,7129,750,0,2750,1800,875,1320,1250,3325,18302,550,1700,2300,0,3150
550,-550,0,-950,1150,2200,0,0,350,0,-15127,450,550,200,0,0,0,1000,0,1225,200,425,0,0,250,2675,0,500,2650,0,200,0,525,0,245,0,-452,1027,0,165,-1000,550,950,42,0,0
0,5250,0,-425,1750,0,0,0,950,0,-20250,450,0,0,0,350,800,0,650,820,0,230,0,0,250,2440,0,1000,-650,0,200,4400,500,0,0,250,-300,1000,810,0,-1200,0,425,300,0,0
550,-50,0,0,1700,1600,250,0,-350,0,-20300,990,1100,0,0,0,1325,1250,440,-225,0,0,0,0,350,2909,0,500,2310,550,0,0,501,1700,533,1150,-1083,0,0,0,1200,550,0,550,0,0
0,-1200,0,-1200,830,1610,0,0,100,0,-23315,425,0,0,3850,780,0,1000,700,1420,0,0,3300,0,500,1650,0,1370,2380,600,100,2200,750,0,367,600,-1051,0,750,1100,-2250,0,1200,39,0,1395
0,-1750,0,3200,1450,0,750,650,-250,0,-20150,1175,0,0,3850,0,0,1250,1100,2750,600,0,-342,0,250,-2950,0,750,1905,600,220,2200,1250,1650,263,600,-1463,0,600,0,-2250,550,0,300,342,900
0,0,0,950,-900,550,0,1000,-750,0,-42350,1300,0,0,3525,0,0,3000,655,2950,0,0,1300,350,750,3970,0,900,1060,0,390,2200,750,2200,581,0,129,1100,1625,4640,875,0,1050,1000,200,5000
