u,v,moda,x,y,periode,total
Jakarta,Medan,KPNG,3300,1,1,337808000
Jakarta,Medan,KPNG,3300,1,2,337808000
Jakarta,Medan,KPNG,3300,1,2,337808000
Jakarta,Medan,KPNG,3300,1,3,337808000
Jakarta,Medan,KPNG,3300,1,3,337808000
Jakarta,Medan,KPNG,3300,1,5,340858000
Jakarta,Medan,KPNG,4400,1,5,443674000
Jakarta,Medan,KPNG,3300,1,6,337808000
Jakarta,Medan,KPNG,3200,1,7,337508000
Jakarta,Medan,KPNG,4400,1,8,440624000
Jakarta,Medan,KPNG,3850,1,9,389216000
Jakarta,Medan,KBRG,3850,1,10,223460000
Jakarta,Medan,KPNG,3850,1,12,389216000
Jakarta,Medan,KPNG,3150,1,12,337358000
Jakarta,Lampung,TRUK,1005,5,2,33581000
Jakarta,Lampung,TRUK,1000,4,2,33566000
Jakarta,Lampung,TRUK,1000,4,3,33566000
Jakarta,Lampung,TRUK,1000,4,3,33566000
Jakarta,Lampung,TRUK,1000,4,3,33566000
Jakarta,Lampung,TRUK,1000,4,4,33566000
Jakarta,Lampung,TRUK,1000,4,4,33566000
Jakarta,Lampung,TRUK,1000,4,5,33566000
Jakarta,Lampung,TRUK,1000,4,5,33566000
Jakarta,Lampung,TRUK,1000,4,5,33566000
Jakarta,Lampung,TRUK,1104,5,6,33878000
Jakarta,Lampung,TRUK,1000,4,7,33566000
Jakarta,Lampung,TRUK,1000,4,9,33566000
Jakarta,Lampung,TRUK,500,2,9,25874000
Jakarta,Lampung,TRUK,1000,4,10,33566000
Jakarta,Lampung,TRUK,1000,4,11,33566000
Jakarta,Lampung,TRUK,1000,4,11,33566000
Jakarta,Lampung,TRUK,1000,4,12,33566000
Jakarta,Lampung,TRUK,1000,4,12,33566000
Jakarta,Lampung,TRUK,1000,4,12,33566000
Jakarta,Palembang,KBRG,2750,1,1,168605000
Jakarta,Palembang,KBRG,4400,1,2,259625000
Jakarta,Palembang,KBRG,3300,1,3,204540000
Jakarta,Palembang,KBRG,2750,1,4,170155000
Jakarta,Palembang,KBRG,3300,1,5,203765000
Jakarta,Palembang,KBRG,3300,1,6,203765000
Jakarta,Palembang,KBRG,3300,1,7,203765000
Jakarta,Palembang,KBRG,3300,1,9,202990000
Jakarta,Palembang,KBRG,2905,1,10,201805000
Jakarta,Palembang,KBRG,3300,1,11,202990000
Jakarta,Palembang,KBRG,2750,1,12,170155000
Jakarta,Pekanbaru,KBRG,3300,1,1,209990000
Jakarta,Pekanbaru,KBRG,4400,1,2,269050000
Jakarta,Pekanbaru,KBRG,1650,1,3,117245000
Jakarta,Pekanbaru,KBRG,3300,1,4,209990000
Jakarta,Pekanbaru,KBRG,3850,1,5,238745000
Jakarta,Pekanbaru,KBRG,3829,1,6,239457000
Jakarta,Pekanbaru,KBRG,3300,1,6,209215000
Jakarta,Pekanbaru,KBRG,2200,1,8,145275000
Jakarta,Pekanbaru,KBRG,2200,1,8,144500000
Jakarta,Pekanbaru,KBRG,2200,1,10,146050000
Jakarta,Pekanbaru,KBRG,2200,1,11,146050000
Jakarta,Pekanbaru,KBRG,2200,1,12,146825000
Jakarta,Bandung,TRUK,1100,5,1,19530000
Jakarta,Bandung,TRUK,1100,5,1,19530000
Jakarta,Bandung,TRUK,1250,5,1,19980000
Jakarta,Bandung,TRUK,1250,5,2,19980000
Jakarta,Bandung,TRUK,1250,5,2,19980000
Jakarta,Bandung,TRUK,1250,5,2,19980000
Jakarta,Bandung,TRUK,1250,5,2,19980000
Jakarta,Bandung,TRUK,1250,5,2,19980000
Jakarta,Bandung,TRUK,1250,5,3,19980000
Jakarta,Bandung,TRUK,1250,5,3,19980000
Jakarta,Bandung,TRUK,1250,5,3,19980000
Jakarta,Bandung,TRUK,1250,5,3,19980000
Jakarta,Bandung,TRUK,1250,5,3,19980000
Jakarta,Bandung,TRUK,1250,5,4,19980000
Jakarta,Bandung,TRUK,1000,4,4,16840000
Jakarta,Bandung,TRUK,1250,5,4,19980000
Jakarta,Bandung,TRUK,1250,5,5,19980000
Jakarta,Bandung,TRUK,1250,5,5,19980000
Jakarta,Bandung,TRUK,1250,5,5,19980000
Jakarta,Bandung,TRUK,1200,5,6,19830000
Jakarta,Bandung,TRUK,1200,5,6,19830000
Jakarta,Bandung,TRUK,1000,4,6,16840000
Jakarta,Bandung,TRUK,1000,4,11,16840000
Jakarta,Bandung,TRUK,1100,5,11,19530000
Jakarta,Bandung,TRUK,1100,5,11,19530000
Jakarta,Bandung,TRUK,1000,4,12,18390000
Jakarta,Bandung,TRUK,1000,4,12,18390000
Jakarta,Semarang,KRTA,1000,1,1,66310000
Jakarta,Semarang,KRTA,1885,1,1,129930000
Jakarta,Semarang,KRTA,2850,1,2,187630000
Jakarta,Semarang,KRTA,2000,1,2,130620000
Jakarta,Semarang,KRTA,2050,1,2,182830000
Jakarta,Semarang,KRTA,1900,1,3,127120000
Jakarta,Semarang,KRTA,1950,1,3,127420000
Jakarta,Semarang,KRTA,1850,1,4,126820000
Jakarta,Semarang,KRTA,1850,1,4,126820000
Jakarta,Semarang,KRTA,1850,1,4,126820000
Jakarta,Semarang,KRTA,3100,2,5,189130000
Jakarta,Semarang,KRTA,3000,1,6,188530000
Jakarta,Semarang,KRTA,2700,1,6,186730000
Jakarta,Semarang,KRTA,3000,1,6,188530000
Jakarta,Semarang,KRTA,2900,1,6,187930000
Jakarta,Semarang,KRTA,800,1,6,65110000
Jakarta,Semarang,KRTA,1850,1,10,126820000
Jakarta,Semarang,KRTA,2750,1,12,187030000
Jakarta,Semarang,KRTA,3000,1,12,188530000
Jakarta,Semarang,KRTA,2650,1,12,186430000
Jakarta,Semarang,KRTA,2950,1,12,188230000
Jakarta,Batam,KPNG,1650,1,2,166055000
Jakarta,Batam,KPNG,1100,1,3,115530002
Jakarta,Batam,KPNG,1650,1,5,166055006
Jakarta,Batam,KPNG,1650,1,5,166055009
Jakarta,Batam,KPNG,2200,1,7,216580016
Jakarta,Batam,KPNG,1600,1,9,165905015
Jakarta,Batam,KPNG,1610,1,10,165935018
Jakarta,Batam,KPNG,550,1,12,65005007
Jakarta,Serang,TRUK,70,1,6,8312500
Jakarta,Serang,TRUK,1250,5,6,18142500
Jakarta,Serang,TRUK,1027,5,7,17473500
Jakarta,Serang,TRUK,1000,4,8,15370000
Jakarta,Serang,TRUK,1100,5,12,17692500
Jakarta,Cirebon,TRUK,274,2,1,12382000
Jakarta,Cirebon,TRUK,990,4,2,19250000
Jakarta,Cirebon,TRUK,600,3,3,16170000
Jakarta,Cirebon,TRUK,1000,4,4,19280000
Jakarta,Cirebon,TRUK,600,3,6,16170000
Jakarta,Cirebon,TRUK,1200,5,6,22690000
Jakarta,Cirebon,TRUK,650,3,11,16320000
Jakarta,Cirebon,TRUK,1000,4,12,19280000
Jakarta,Pontianak,KBRG,2750,1,2,165905000
Jakarta,Pontianak,KBRG,3300,1,3,196485000
Jakarta,Pontianak,KBRG,1100,1,4,84230000
Jakarta,Pontianak,KBRG,1700,1,9,137180000
Jakarta,Pontianak,KBRG,1650,1,11,110680000
Jakarta,Pontianak,KBRG,2200,1,12,141780000
Jakarta,Banjarmasin,KBRG,1100,1,1,79855000
Jakarta,Banjarmasin,KBRG,1100,1,3,80630000
Jakarta,Banjarmasin,KBRG,2750,1,4,159055000
Jakarta,Banjarmasin,KBRG,2750,1,5,159055000
Jakarta,Banjarmasin,KBRG,1650,1,7,107030000
Jakarta,Banjarmasin,KBRG,2750,1,8,159830000
Jakarta,Banjarmasin,KBRG,2200,1,9,132655000
Jakarta,Banjarmasin,KBRG,2200,1,10,132655000
Jakarta,Banjarmasin,KBRG,2200,1,11,133430000
Jakarta,Balikpapan,KBRG,5500,1,2,313110000
Jakarta,Balikpapan,KBRG,1650,1,3,111125000
Jakarta,Balikpapan,KBRG,3850,1,4,228315000
Jakarta,Balikpapan,KBRG,1650,1,5,110350000
Jakarta,Balikpapan,KBRG,5500,1,8,312335000
Jakarta,Balikpapan,KBRG,2200,1,9,138615000
Jakarta,Surabaya,KRTA,2500,1,1,254760000
Jakarta,Surabaya,KPNG,3300,1,1,272430000
Jakarta,Surabaya,KRTA,1885,1,1,173350000
Jakarta,Surabaya,KPNG,3300,1,2,273955000
Jakarta,Surabaya,KPNG,1100,1,2,267355000
Jakarta,Surabaya,KPNG,3300,1,3,273955000
Jakarta,Surabaya,KPNG,2200,1,3,310025000
Jakarta,Surabaya,KPNG,1650,1,4,224530000
Jakarta,Surabaya,KPNG,3300,1,4,263570000
Jakarta,Surabaya,KPNG,4400,1,4,358270000
Jakarta,Surabaya,KRTA,1900,1,5,173440000
Jakarta,Surabaya,KRTA,2800,1,5,256560000
Jakarta,Surabaya,KRTA,2650,1,5,255660000
Jakarta,Surabaya,KPNG,2750,1,5,224080000
Jakarta,Surabaya,KPNG,4950,1,6,397015000
Jakarta,Surabaya,KRTA,3000,1,6,257760000
Jakarta,Surabaya,KBRG,8250,1,6,320840000
Jakarta,Surabaya,KRTA,3000,1,6,257760000
Jakarta,Surabaya,KRTA,3000,1,6,257760000
Jakarta,Surabaya,KPNG,5550,1,6,467170000
Jakarta,Surabaya,KRTA,2852,1,6,256872000
Jakarta,Surabaya,KPNG,1200,1,9,140690000
Jakarta,Surabaya,KPNG,2200,1,10,183060000
Jakarta,Surabaya,KPNG,2200,1,11,183060000
Jakarta,Surabaya,KPNG,4400,1,12,354495000
Jakarta,Manado,KPNG,3300,1,2,291816000
Jakarta,Manado,KPNG,2200,1,3,197884000
Jakarta,Manado,KPNG,2750,1,5,417144000
Jakarta,Manado,KPNG,3300,1,10,293341000
Jakarta,Manado,KPNG,1500,1,12,152458000
Jakarta,Ternate,KBRG,1100,1,3,149019000
Jakarta,Ternate,KBRG,1100,1,5,149019000
Jakarta,Makassar,KPNG,3300,1,1,297633000
Jakarta,Makassar,KPNG,2200,1,3,200262000
Jakarta,Makassar,KPNG,1100,1,4,110196000
Jakarta,Makassar,KPNG,3300,1,5,297633000
Jakarta,Makassar,KPNG,3300,1,6,297633000
Jakarta,Makassar,KPNG,1100,1,6,110196000
Jakarta,Makassar,KPNG,2750,1,7,243570000
Jakarta,Makassar,KPNG,2200,1,8,199112000
Jakarta,Makassar,KPNG,2750,1,9,243570000
Jakarta,Makassar,KPNG,2200,1,10,197962000
Jakarta,Makassar,KPNG,2750,1,11,244720000
Jakarta,Makassar,KPNG,3300,1,12,299158000
Medan,Lhokseumawe,TRUK,750,3,1,17626896
Medan,Lhokseumawe,TRUK,750,3,1,17725137
Medan,Lhokseumawe,TRUK,750,3,2,17372350
Medan,Lhokseumawe,TRUK,750,3,3,17843802
Medan,Lhokseumawe,TRUK,500,2,4,14150000
Medan,Lhokseumawe,TRUK,500,2,4,13405938
Medan,Lhokseumawe,TRUK,500,2,5,13749500
Medan,Lhokseumawe,TRUK,500,2,5,14289350
Medan,Lhokseumawe,TRUK,500,2,6,13952400
Medan,Lhokseumawe,TRUK,500,2,6,14250000
Medan,Lhokseumawe,TRUK,500,2,6,14046500
Medan,Lhokseumawe,TRUK,500,2,6,14018450
Medan,Lhokseumawe,TRUK,500,2,6,13963500
Medan,Lhokseumawe,TRUK,150,1,8,10425000
Medan,Lhokseumawe,TRUK,500,2,8,14335011
Medan,Lhokseumawe,TRUK,440,2,9,13590265
Medan,Lhokseumawe,TRUK,700,3,10,18047599
Medan,Lhokseumawe,TRUK,600,3,11,17625000
Medan,Lhokseumawe,TRUK,500,2,11,14134700
Medan,Lhokseumawe,TRUK,655,3,12,17597000
Medan,Banda Aceh,TRUK,750,3,6,19596100
Medan,Banda Aceh,TRUK,750,3,6,19108084
Medan,Pematang Siantar,TRUK,750,3,1,12590061
Medan,Pematang Siantar,TRUK,750,3,2,12703983
Medan,Pematang Siantar,TRUK,500,2,3,9680047
Medan,Pematang Siantar,TRUK,750,3,4,12580250
Medan,Pematang Siantar,TRUK,750,3,5,12249893
Medan,Pematang Siantar,TRUK,750,3,6,12080017
Medan,Pematang Siantar,TRUK,225,1,7,6660000
Medan,Pematang Siantar,TRUK,300,2,7,8775000
Medan,Pematang Siantar,TRUK,500,2,8,9937002
Medan,Pematang Siantar,TRUK,501,3,9,8963800
Medan,Pematang Siantar,TRUK,750,3,10,13375000
Medan,Pematang Siantar,TRUK,750,3,11,12242000
Medan,Pematang Siantar,TRUK,500,2,11,9810000
Medan,Pematang Siantar,TRUK,750,3,12,13250000
Medan,Sibolga,TRUK,500,2,1,13630000
Medan,Sibolga,TRUK,250,1,1,10825080
Medan,Sibolga,TRUK,750,3,3,18393686
Medan,Sibolga,TRUK,500,2,5,14610200
Medan,Sibolga,TRUK,500,2,6,12895000
Medan,Sibolga,TRUK,750,3,6,17556993
Medan,Sibolga,TRUK,160,1,8,10192000
Medan,Sibolga,TRUK,650,3,8,15645450
Medan,Sibolga,TRUK,750,3,10,19458000
Medan,Sibolga,TRUK,600,3,11,18395000
Medan,Sibolga,TRUK,625,3,12,17658000
Medan,Sibolga,TRUK,250,1,12,11040000
Medan,Sibolga,TRUK,750,3,12,18545843
Pekanbaru,Padang,TRUK,500,2,3,18650000
Pekanbaru,Padang,TRUK,500,2,3,18550000
Pekanbaru,Padang,TRUK,500,2,3,18750000
Pekanbaru,Padang,TRUK,500,2,4,18550000
Pekanbaru,Padang,TRUK,500,2,4,18950000
Pekanbaru,Padang,TRUK,500,2,5,18750000
Pekanbaru,Padang,TRUK,450,2,5,18600000
Pekanbaru,Padang,TRUK,500,2,5,18550000
Pekanbaru,Padang,TRUK,500,2,5,18550000
Palembang,Jambi,TRUK,400,2,1,27485000
Palembang,Jambi,TRUK,480,2,2,28445000
Jambi,Palembang,TRUK,28,1,2,15007000
Palembang,Jambi,TRUK,200,1,2,6196000
Palembang,Jambi,TRUK,500,2,3,24795000
Palembang,Jambi,TRUK,400,2,4,23595000
Palembang,Jambi,TRUK,500,2,4,24795000
Palembang,Jambi,TRUK,700,3,5,30359000
Palembang,Jambi,TRUK,800,4,5,40071000
Palembang,Jambi,TRUK,750,3,5,39471000
Palembang,Jambi,TRUK,825,4,6,40371000
Palembang,Jambi,TRUK,450,2,7,23342000
Palembang,Jambi,TRUK,450,2,8,26506000
Palembang,Jambi,TRUK,490,2,9,21910000
Palembang,Jambi,TRUK,500,2,9,23942000
Jambi,Palembang,TRUK,100,1,10,13431000
Palembang,Jambi,TRUK,525,3,10,15175000
Palembang,Jambi,TRUK,575,3,11,28006000
Palembang,Jambi,TRUK,600,3,11,23230000
Palembang,Jambi,TRUK,650,3,12,34679000
Palembang,Jambi,TRUK,650,3,12,37171000
Palembang,Pangkal Pinang,TRUK,186,1,2,9256000
Palembang,Pangkal Pinang,TRUK,120,1,3,8596000
