Banda Aceh,Lhokseumawe,Medan,Sibolga,Pematang Siantar,Padang,Pekanbaru,Bengkulu,Jambi,Batam,Palembang,Lampung,Serang,Pangkal Pinang,Jakarta,Bandung,Tasikmalaya,Cirebon,Tegal,Purwokerto,Pontianak,Yogyakarta,Semarang,Solo,Kediri,Malang,Surabaya,Jember,Palangkaraya,Banjarmasin,Denpasar,Mataram,Balikpapan,Samarinda,Tarakan,Mamuju,Makassar,Palu,Kendari,Gorontalo,Kupang,Manado,Ternate,Ambon,Manokwari,Jayapura
-1541,-3255,-16546,-1357,-3113,-5764,-4998,-1797,-2576,-5498,-11550,-9064,-4601,-2369,-1073741820,-15232,-2362,-5650,-2962,-2816,-7424,-5415,-16524,-5742,-3748,-1750,-14233,-7380,-1798,-4918,-6199,-2169,-9333,-2837,-778,-775,-12227,-1620,-1152,-1697,-2595,-7097,-2413,-1497,-400,-3975
-1387,-3394,-12931,-1586,-2310,-5295,-4747,-1775,-1878,-5002,-9283,-8591,-4803,-1677,3,-11983,-2821,-5213,-2829,-3007,-7114,-5409,-18024,-6202,-6230,-2321,-12805,-6170,-1370,-5131,-5235,-2496,-7691,-1997,-1181,-710,-12356,-1816,-1337,-1729,-3027,-6212,-1712,-1424,-445,-4649
154,159,-127,6,493,264,583,133,572,544,831,522,327,225,4,1181,166,188,572,-182,170,901,799,167,-112,-11,1842,395,450,103,1120,-155,304,536,103,182,110,141,333,-40,-320,299,131,-104,-27,561
744,388,1760,248,741,727,1035,439,569,745,1556,718,485,283,2,2939,183,960,928,191,303,1499,2076,942,568,462,5063,672,693,504,2737,488,416,820,208,192,824,89,239,154,173,277,241,48,69,586
1021,560,2082,628,677,391,1100,400,975,2860,1952,881,428,447,3,6532,692,2019,1227,350,570,1959,6981,1383,772,2709,4689,3563,979,695,1953,818,637,889,391,468,840,536,374,79,32,603,373,262,182,1627
2547,2130,6416,2110,3613,7160,6985,2825,3096,2815,9154,7797,4259,935,4,12834,2606,8190,6378,4562,4742,9599,12428,9080,6658,5577,28990,4642,2263,3538,7947,3541,2491,4175,1884,775,6604,2025,1845,1121,1813,3023,1094,1336,430,3020
595,14,-281,28,540,-784,-628,591,-34,-278,-461,261,-994,425,3,399,844,-1664,-444,-2831,208,-2656,-4725,-1547,143,-797,-8733,-889,423,-504,309,-372,-1,-317,-11,534,-794,-37,274,7,430,148,153,731,140,507
625,283,238,751,420,-673,-272,291,435,536,859,201,548,152,3,-4272,-312,-570,390,-1230,176,-310,796,-2007,-535,-279,-2149,367,743,184,1342,78,324,801,49,-194,302,-39,99,40,687,155,392,467,199,305
812,375,1745,531,991,-188,1437,367,515,441,1202,1239,-270,303,2,892,-770,-213,961,-166,774,1273,498,-180,-193,-61,2860,570,809,395,2287,325,379,790,88,354,641,191,235,104,497,411,193,408,116,735
757,346,534,670,753,132,1277,353,420,994,1997,497,-71,274,2,536,41,-24,691,-337,516,1416,1478,-382,125,101,1043,540,721,361,2138,766,433,755,139,258,1282,191,491,122,504,483,369,522,175,1133
749,296,660,832,749,328,1495,397,692,1013,2113,779,12,416,5,411,-240,213,992,-409,949,1777,1123,-331,554,118,2047,798,901,554,2502,686,452,698,199,204,714,258,553,58,711,472,345,572,168,643
906,389,1654,919,846,633,1237,567,729,1267,2115,756,209,262,5,1660,-68,600,481,-175,1295,1936,777,1,725,242,3543,977,1182,700,2058,583,527,811,206,469,945,790,743,111,696,1094,296,574,256,1006
1633,1028,3366,1591,1818,1637,2992,845,1107,1760,1737,1759,1336,682,4,6469,81,741,1391,563,2267,2451,3170,1083,1536,1091,5899,555,1633,1160,3303,755,1162,1514,410,584,2517,1298,1197,175,1952,2383,675,1441,812,3029
