u,v,moda,periode,w
Ambon,Jakarta,KPNG,1,6
Ambon,Surabaya,KPNG,1,6
Ambon,Makassar,KPNG,1,6
Ambon,Ternate,KPNG,1,6
Ambon,Manado,KPNG,1,6
Ambon,Jayapura,KPNG,1,6
Balikpapan,Pontianak,TRUK,1,15
Balikpapan,Palangkaraya,TRUK,1,15
Balikpapan,Banjarmasin,TRUK,1,15
Balikpapan,Samarinda,TRUK,1,15
Balikpapan,Tarakan,TRUK,1,15
Balikpapan,Jakarta,KBRG,1,4
Balikpapan,Surabaya,KBRG,1,4
Balikpapan,Samarinda,KBRG,1,4
Balikpapan,Palu,KBRG,1,4
Balikpapan,Manado,KBRG,1,4
Balikpapan,Kendari,KBRG,1,4
Banda Aceh,Lhokseumawe,TRUK,1,15
Banda Aceh,Medan,TRUK,1,15
Banda Aceh,Sibolga,TRUK,1,15
Banda Aceh,Pematang Siantar,TRUK,1,15
Banda Aceh,Padang,TRUK,1,15
Banda Aceh,Pekanbaru,TRUK,1,15
Banda Aceh,Bengkulu,TRUK,1,15
Banda Aceh,Jambi,TRUK,1,15
Banda Aceh,Palembang,TRUK,1,15
Banda Aceh,Lampung,TRUK,1,15
Banda Aceh,Pangkal Pinang,TRUK,1,15
Bandung,Serang,TRUK,1,15
Bandung,Jakarta,TRUK,1,15
Bandung,Tasikmalaya,TRUK,1,15
Bandung,Cirebon,TRUK,1,15
Bandung,Tegal,TRUK,1,15
Bandung,Purwokerto,TRUK,1,15
Bandung,Yogyakarta,TRUK,1,15
Bandung,Semarang,TRUK,1,15
Bandung,Solo,TRUK,1,15
Bandung,Kediri,TRUK,1,15
Bandung,Malang,TRUK,1,15
Bandung,Surabaya,TRUK,1,15
Bandung,Jember,TRUK,1,15
Bandung,Jakarta,KRTA,1,2
Bandung,Surabaya,KRTA,1,2
Bandung,Cirebon,KRTA,1,2
Bandung,Tegal,KRTA,1,2
Bandung,Semarang,KRTA,1,2
Bandung,Tasikmalaya,KRTA,1,2
Bandung,Yogyakarta,KRTA,1,2
Bandung,Solo,KRTA,1,2
Bandung,Malang,KRTA,1,2
Bandung,Kediri,KRTA,1,2
Banjarmasin,Pontianak,TRUK,1,15
Banjarmasin,Palangkaraya,TRUK,1,15
Banjarmasin,Balikpapan,TRUK,1,15
Banjarmasin,Samarinda,TRUK,1,15
Banjarmasin,Tarakan,TRUK,1,15
Banjarmasin,Jakarta,KBRG,1,4
Batam,Jakarta,KBRG,1,4
Batam,Jakarta,KPNG,1,6
Batam,Medan,KPNG,1,6
Bengkulu,Banda Aceh,TRUK,1,15
Bengkulu,Lhokseumawe,TRUK,1,15
Bengkulu,Medan,TRUK,1,15
Bengkulu,Sibolga,TRUK,1,15
Bengkulu,Pematang Siantar,TRUK,1,15
Bengkulu,Padang,TRUK,1,15
Bengkulu,Pekanbaru,TRUK,1,15
Bengkulu,Jambi,TRUK,1,15
Bengkulu,Palembang,TRUK,1,15
Bengkulu,Lampung,TRUK,1,15
Bengkulu,Pangkal Pinang,TRUK,1,15
Cirebon,Serang,TRUK,1,15
Cirebon,Jakarta,TRUK,1,15
Cirebon,Bandung,TRUK,1,15
Cirebon,Tasikmalaya,TRUK,1,15
Cirebon,Tegal,TRUK,1,15
Cirebon,Purwokerto,TRUK,1,15
Cirebon,Yogyakarta,TRUK,1,15
Cirebon,Semarang,TRUK,1,15
Cirebon,Solo,TRUK,1,15
Cirebon,Kediri,TRUK,1,15
Cirebon,Malang,TRUK,1,15
Cirebon,Surabaya,TRUK,1,15
Cirebon,Jember,TRUK,1,15
Cirebon,Jakarta,KRTA,1,2
Cirebon,Bandung,KRTA,1,2
Denpasar,Mataram,TRUK,1,15
Denpasar,Surabaya,TRUK,1,15
Gorontalo,Mamuju,TRUK,1,15
Gorontalo,Makassar,TRUK,1,15
Gorontalo,Palu,TRUK,1,15
Gorontalo,Kendari,TRUK,1,15
Gorontalo,Manado,TRUK,1,15
Jakarta,Serang,TRUK,1,15
Jakarta,Bandung,TRUK,1,15
Jakarta,Tasikmalaya,TRUK,1,15
Jakarta,Cirebon,TRUK,1,15
Jakarta,Tegal,TRUK,1,15
